Epoch,MSE Loss
1,0.009294537793957043
2,0.0027383086029052115
3,0.0026460904962193497
4,0.0026874827534710574
5,0.0027226096108616156
6,0.0027467123010730438
7,0.0026246447372681426
8,0.002585152626529129
9,0.0026428790027879317
10,0.0026092620946992946
11,0.0026298352884758197
12,0.002530314372658419
13,0.002479208390771722
14,0.0024433264840842675
15,0.0025754440748305234
16,0.002502299325661389
17,0.002457710783346556
18,0.0024567716808868915
19,0.0023739752472869847
20,0.002342042805846884
21,0.002591087096435432
22,0.0023413864411715485
23,0.0023568275069852395
24,0.002283154489877806
25,0.0022365042289796597
26,0.0022958746509781727
27,0.0022414602776903107
28,0.002164754512637888
29,0.002279012618668343
30,0.002153333296990712
31,0.002127208066802403
32,0.002170740909706284
33,0.002111762807881287
34,0.0020096910210904077
35,0.00206386257950389
36,0.0020190466926174443
37,0.0019406592829101202
38,0.001962902302491582
39,0.0019111733434126815
40,0.0018541827567214906
41,0.0018515591628211379
42,0.0017882014346671188
43,0.0017716190007006473
44,0.001733302293427254
45,0.0017856235380922616
46,0.001729933266351172
47,0.001713857467014653
48,0.0016848906466125132
49,0.0016973630618950766
50,0.0016120498341344366
