Epoch,MSE Loss
1,0.008775070096210888
2,0.003401041214669089
3,0.0029591716426053878
4,0.00286484748196219
5,0.0028718136222946836
6,0.002815679050399922
7,0.0026256262741905325
8,0.0027896705465132576
9,0.0028115273835956707
10,0.0026900247402308094
11,0.0028036302176554237
12,0.0028277828829164652
13,0.0026728851177419224
14,0.0026705502041969105
15,0.002604033209435228
16,0.0025809205835685134
17,0.002666403724341998
18,0.0027227394753868727
19,0.0026779630861710757
20,0.0025969776578238925
21,0.002595136057438881
22,0.002568485449214845
23,0.002526370326652088
24,0.0025727428125079583
25,0.0025514985420698024
26,0.0026220423703004294
27,0.002543645699646462
28,0.002556276223104861
29,0.0025079644299155377
30,0.002542437526884627
31,0.002554315902266858
32,0.0026016359366217833
33,0.002434039621557868
34,0.002446785166587991
35,0.00254326291151638
36,0.0025800317100085385
37,0.0024505191918083088
38,0.002392718781872342
39,0.0024611672173098973
40,0.002457943443678906
41,0.0024648598633508234
42,0.0023652135800889314
43,0.002451265622598671
44,0.002352424868149683
45,0.002402483581034984
46,0.0023936077772372367
47,0.0023540070019576146
48,0.0023316403245122208
49,0.0022725912034123517
50,0.002367955946721378
