Epoch,MSE Loss
1,0.02149436591275002
2,0.004241622236333098
3,0.004046509463848822
4,0.0036074331771858313
5,0.003235663865106525
6,0.003075990953624973
7,0.003026334713838339
8,0.00287341589972601
9,0.0027647201210062055
10,0.0027416964191986524
11,0.0026015508052228986
12,0.0025709322006959054
13,0.002632204274521899
14,0.0026758015683972865
15,0.0025758584853503162
16,0.002608663903730404
17,0.002568494751661395
18,0.0027152798806869046
19,0.0025414984777819847
20,0.002570938602999646
21,0.0026034274665612932
22,0.002623220634025832
23,0.002490741346803218
24,0.0024297193643481783
25,0.0024707238631823136
26,0.0024664597930731595
27,0.002438261810716035
28,0.0024619363038153905
29,0.002409490135808786
30,0.00239526907723673
31,0.002331368331969888
32,0.00244143205000674
33,0.002314036640907741
34,0.002301483667839353
35,0.0022897442088126102
36,0.0022663697293157587
37,0.0022724938203787636
38,0.0022631231657686403
39,0.0021686244683762736
40,0.0021387432077770224
41,0.0021718968168392572
42,0.0021786604661934283
43,0.002186232649600478
44,0.0021183367579295817
45,0.0020440001632474982
46,0.0021086626576207993
47,0.0020634104126926373
48,0.001985877759310555
49,0.0020006974707400703
50,0.0020212462280782078
