Epoch,MSE Loss
1,0.015857658103211887
2,0.0032601348971689325
3,0.00297704082213049
4,0.0031426089473016974
5,0.0029168586727421454
6,0.002947947001774554
7,0.0028182912603908873
8,0.002644075250524717
9,0.002741164822105525
10,0.0026490516147869465
11,0.0025109099994922333
12,0.0026700822620316306
13,0.002655438060173765
14,0.002616285280695323
15,0.0026119753909167936
16,0.002547392080520728
17,0.00265369055193366
18,0.002572953152358187
19,0.002428364858065766
20,0.002480530444127335
21,0.002390985979689975
22,0.0023680729915482785
23,0.0023182048138955403
24,0.0024059684370446054
25,0.0022571421523699194
26,0.002223005095772721
27,0.002157329381184859
28,0.0022386802824998827
29,0.0021736607002956726
30,0.0021190441718014577
31,0.002108273376641726
32,0.00200723615071857
33,0.0020806986533527918
34,0.0020546574017283057
35,0.0019497423792792553
36,0.001930561956854675
37,0.0019354357134067901
38,0.0019278942005864035
39,0.001915769121195707
40,0.0018983296839804906
41,0.0019187716464296467
42,0.0018399705015191877
43,0.0017605055844695824
44,0.0018021246015214947
45,0.0018289417871360288
46,0.001778194692128131
47,0.0017877965664309966
48,0.0016760857839404639
49,0.0016733919468673844
50,0.0017187910265487585
