Epoch,MSE Loss
1,0.023004045024410717
2,0.0040650504050534905
3,0.0035296104583216626
4,0.0032999384884196507
5,0.0029479321685222976
6,0.0030012794412431066
7,0.0027800613639151883
8,0.00270006233714176
9,0.0029965556949954823
10,0.002660103749130266
11,0.002669417498745369
12,0.00264148552216486
13,0.0025630713875957386
14,0.0025881941228699697
15,0.0026380625931778923
16,0.0026317161978955416
17,0.002613388576988924
18,0.002549523206350083
19,0.00253357395046839
20,0.0024431782124641663
21,0.002495614480317777
22,0.0024662251644595352
23,0.0025195926217646855
24,0.002420156748956759
25,0.0025547021586034033
26,0.002427776150633926
27,0.002466094066794203
28,0.002467837804471384
29,0.002604360817780684
30,0.0023399715347396624
31,0.002283770466520865
32,0.002327920577954501
33,0.002274972556430536
34,0.002357593396920021
35,0.0023166057141713317
36,0.0022298751454972836
37,0.0021994722709577116
38,0.002154695518482994
39,0.0021740863454329817
40,0.0021817806043179224
41,0.002157565701054409
42,0.002079294867278939
43,0.002071034771183299
44,0.002052497709411438
45,0.0020548581480936802
46,0.0019636157807393895
47,0.0019830957521831064
48,0.0019292357621317798
49,0.0019397342704771156
50,0.0019622069392223945
