Epoch,MSE Loss
1,0.03612010029829898
2,0.004482331946008962
3,0.004353679533178022
4,0.004291893393767752
5,0.004177217954936666
6,0.003697576235215408
7,0.0033590849335217534
8,0.003163228023419473
9,0.0031941959849681777
10,0.0030877278713544584
11,0.003017083538546807
12,0.00304401204328246
13,0.00307226768268694
14,0.0030474179827406087
15,0.0030527231843597343
16,0.0029738352646093533
17,0.002984540828038007
18,0.002990056062666348
19,0.002963941006697187
20,0.0029908859946343276
21,0.0029159284368122243
22,0.0029145014304272337
23,0.0028504255504505534
24,0.002878398008486432
25,0.00285207544440263
26,0.002892197030135167
27,0.0027717070462937765
28,0.002758785327764685
29,0.0027158878455904997
30,0.002702567843338123
31,0.0026952967581444615
32,0.002769926649118545
33,0.0027077429491877206
34,0.0026488653208427836
35,0.002608383279777009
36,0.002621137119175093
37,0.0026069549005698273
38,0.0026312918937106107
39,0.002605626547933152
40,0.0025852856112046625
41,0.0025920547980964534
42,0.0025872018304653466
43,0.002522072747661644
44,0.002555273456239792
45,0.0025697277012096615
46,0.0025257267621301887
47,0.002576347975332712
48,0.0024872756182031603
49,0.002491627964257034
50,0.002508703043205523
